Date,Price,Open,High,Low,Vol.,Change %,Stock symbol,Bank
2014-09-25,7381.7,7184.9,7381.7,7086.5,692240.0,1.35,AGR,Agribank
2014-09-26,7184.9,7381.7,7480.2,7184.9,881630.0,-2.67,AGR,Agribank
2014-09-29,7283.3,7283.3,7480.2,7283.3,1000000.0,1.37,AGR,Agribank
2014-09-30,7381.7,7184.9,7381.7,7184.9,754570.0,1.35,AGR,Agribank
2014-10-01,7480.2,7381.7,7480.2,7283.3,851270.0,1.33,AGR,Agribank
2014-10-02,7578.6,7480.2,7677.0,7381.7,1640000.0,1.32,AGR,Agribank
2014-10-03,7381.7,7578.6,7677.0,7381.7,1070000.0,-2.6,AGR,Agribank
2014-10-06,7381.7,7381.7,7578.6,7381.7,672360.0,0.0,AGR,Agribank
2014-10-07,7480.2,7480.2,7578.6,7381.7,1040000.0,1.33,AGR,Agribank
2014-10-08,7480.2,7480.2,7578.6,7381.7,525890.0,0.0,AGR,Agribank
2014-10-09,7578.6,7578.6,7873.9,7578.6,2230000.0,1.32,AGR,Agribank
2014-10-10,7578.6,7578.6,7775.4,7381.7,970440.0,0.0,AGR,Agribank
2014-10-13,7578.6,7578.6,7677.0,7381.7,675880.0,0.0,AGR,Agribank
2014-10-14,7283.3,7578.6,7578.6,7283.3,911000.0,-3.9,AGR,Agribank
2014-10-15,7283.3,7381.7,7381.7,7184.9,578760.0,0.0,AGR,Agribank
2014-10-16,6791.2,7283.3,7381.7,6791.2,2680000.0,-6.76,AGR,Agribank
2014-10-17,6692.8,6692.8,6889.6,6495.9,976520.0,-1.45,AGR,Agribank
2014-10-20,6692.8,6692.8,6791.2,6594.4,543280.0,0.0,AGR,Agribank
2014-10-21,6692.8,6791.2,6791.2,6594.4,359270.0,0.0,AGR,Agribank
2014-10-22,6791.2,6692.8,6791.2,6594.4,395980.0,1.47,AGR,Agribank
2014-10-23,6594.4,6791.2,6791.2,6594.4,399390.0,-2.9,AGR,Agribank
2014-10-24,6495.9,6594.4,6692.8,6495.9,389860.0,-1.49,AGR,Agribank
